,home_wins,home_losses,home_draws,half_home_wins,half_home_losses,half_home_draws,Matches Played,total_wins,total_losses,total_draws,% wins,% losses,% draws,half_total_wins,half_total_losses,half_total_draws,% half wins,% half losses,% half draws,Total Full Time Home Team Goals,Full Time Home Team Goals mean,Total Half Time Home Team Goals,Half Time Home Team Goals mean,Total Home Team Shots,Home Team Shots mean,Total Home Team Shots on Target,Home Team Shots on Target mean,Total Home Team Fouls Committed,Home Team Fouls Committed mean,Total Home Team Corners,Home Team Corners mean,Total Home Team Yellow Cards,Home Team Yellow Cards mean,Total Home Team Red Cards,Home Team Red Cards mean
Reims,38,29,28,34.0,28.0,33.0,190,57,75,58,30.0,39.473684210526315,30.526315789473685,53.0,63.0,74.0,27.894736842105264,33.1578947368421,38.94736842105263,119.0,1.2526315789473683,48.0,0.5052631578947369,1156.0,12.16842105263158,390.0,4.105263157894737,1305.0,13.736842105263158,492.0,5.178947368421053,167.0,1.7578947368421052,9.0,0.09473684210526316
Bastia,43,25,26,29.0,17.0,48.0,189,59,83,47,31.21693121693122,43.91534391534392,24.867724867724867,42.0,59.0,88.0,22.22222222222222,31.21693121693122,46.560846560846564,118.0,1.2553191489361701,55.0,0.5851063829787234,992.0,10.553191489361701,368.0,3.9148936170212765,1312.0,13.957446808510639,449.0,4.776595744680851,183.0,1.946808510638298,18.0,0.19148936170212766
Nantes,48,38,28,32.0,27.0,55.0,228,77,89,62,33.771929824561404,39.03508771929825,27.19298245614035,60.0,61.0,107.0,26.31578947368421,26.75438596491228,46.92982456140351,127.0,1.1140350877192982,53.0,0.4649122807017544,1503.0,13.18421052631579,465.0,4.078947368421052,1545.0,13.552631578947368,601.0,5.271929824561403,185.0,1.6228070175438596,13.0,0.11403508771929824
Guingamp,46,39,29,30.0,26.0,58.0,228,68,105,55,29.82456140350877,46.05263157894737,24.12280701754386,46.0,70.0,112.0,20.17543859649123,30.70175438596491,49.12280701754386,149.0,1.3070175438596492,59.0,0.5175438596491229,1389.0,12.18421052631579,455.0,3.991228070175439,1511.0,13.25438596491228,653.0,5.728070175438597,163.0,1.4298245614035088,15.0,0.13157894736842105
Metz,16,26,15,12.0,18.0,27.0,114,24,63,27,21.05263157894737,55.26315789473684,23.68421052631579,20.0,45.0,49.0,17.54385964912281,39.473684210526315,42.98245614035088,69.0,1.2105263157894737,26.0,0.45614035087719296,710.0,12.456140350877194,253.0,4.43859649122807,778.0,13.649122807017545,264.0,4.631578947368421,104.0,1.8245614035087718,4.0,0.07017543859649122
Angers,24,23,29,22.0,19.0,35.0,152,45,59,48,29.605263157894736,38.81578947368421,31.57894736842105,42.0,44.0,66.0,27.63157894736842,28.94736842105263,43.421052631578945,90.0,1.1842105263157894,36.0,0.47368421052631576,1016.0,13.368421052631579,339.0,4.4605263157894735,947.0,12.460526315789474,361.0,4.75,102.0,1.3421052631578947,7.0,0.09210526315789473
Ajaccio GFCO,5,7,7,6.0,7.0,6.0,38,8,17,13,21.05263157894737,44.73684210526316,34.21052631578947,9.0,16.0,13.0,23.68421052631579,42.10526315789474,34.21052631578947,23.0,1.2105263157894737,14.0,0.7368421052631579,276.0,14.526315789473685,79.0,4.157894736842105,279.0,14.68421052631579,101.0,5.315789473684211,39.0,2.0526315789473686,3.0,0.15789473684210525
Amiens,15,13,10,12.0,7.0,19.0,76,21,35,20,27.63157894736842,46.05263157894737,26.31578947368421,19.0,22.0,35.0,25.0,28.94736842105263,46.05263157894737,46.0,1.2105263157894737,18.0,0.47368421052631576,433.0,11.394736842105264,135.0,3.5526315789473686,501.0,13.18421052631579,160.0,4.2105263157894735,58.0,1.5263157894736843,5.0,0.13157894736842105
Strasbourg,13,11,14,10.0,12.0,16.0,76,20,29,27,26.31578947368421,38.1578947368421,35.526315789473685,18.0,27.0,31.0,23.68421052631579,35.526315789473685,40.78947368421053,58.0,1.5263157894736843,23.0,0.6052631578947368,472.0,12.421052631578947,177.0,4.657894736842105,534.0,14.052631578947368,181.0,4.7631578947368425,68.0,1.7894736842105263,4.0,0.10526315789473684
Nimes,9,5,5,7.0,5.0,7.0,38,15,15,8,39.473684210526315,39.473684210526315,21.05263157894737,11.0,12.0,15.0,28.94736842105263,31.57894736842105,39.473684210526315,30.0,1.5789473684210527,11.0,0.5789473684210527,255.0,13.421052631578947,100.0,5.2631578947368425,248.0,13.052631578947368,111.0,5.842105263157895,34.0,1.7894736842105263,4.0,0.21052631578947367
