Date,HomeTeam,AwayTeam,Year,Month,home_wins,home_losses,home_draws,half_home_wins,half_home_losses,half_home_draws,Matches Played_x,total_wins_x,total_losses_x,total_draws_x,% wins_x,% losses_x,% draws_x,half_total_wins_x,half_total_losses_x,half_total_draws_x,% half wins_x,% half losses_x,% half draws_x,Total Full Time Home Team Goals,Full Time Home Team Goals mean,Total Half Time Home Team Goals,Half Time Home Team Goals mean,Total Home Team Shots,Home Team Shots mean,Total Home Team Shots on Target,Home Team Shots on Target mean,Total Home Team Fouls Committed,Home Team Fouls Committed mean,Total Home Team Corners,Home Team Corners mean,Total Home Team Yellow Cards,Home Team Yellow Cards mean,Total Home Team Red Cards,Home Team Red Cards mean,away_wins,away_losses,away_draws,half_away_wins,half_away_losses,half_away_draws,Matches Played_y,total_wins_y,total_losses_y,total_draws_y,% wins_y,% losses_y,% draws_y,half_total_wins_y,half_total_losses_y,half_total_draws_y,% half wins_y,% half losses_y,% half draws_y,Total Full Time Away Team Goals,Full Time Away Team Goals mean,Total Half Time Away Team Goals,Half Time Away Team Goals mean,Total Away Team Shots,Away Team Shots mean,Total Away Team Shots on Target,Away Team Shots on Target mean,Total Away Team Fouls Committed,Away Team Fouls Committed mean,Total Away Team Corners,Away Team Corners mean,Total Away Team Yellow Cards,Away Team Yellow Cards mean,Total Away Team Red Cards,Away Team Red Cards mean
2019-12-21,Rennes,Bordeaux,2019.0,12.0,78.0,52.0,60.0,64.0,41.0,85.0,380.0,137.0,131.0,112.0,36.05263157894737,34.473684210526315,29.47368421052632,107.0,101.0,172.0,28.157894736842106,26.578947368421048,45.26315789473684,251.0,1.3210526315789477,113.0,0.5947368421052631,2479.0,13.047368421052632,849.0,4.468421052631579,2420.0,12.73684210526316,969.0,5.1,290.0,1.5263157894736843,15.0,0.07894736842105263,51,74,65,46.0,58.0,86.0,380,143,114,123,37.631578947368425,30.0,32.368421052631575,124.0,96.0,160.0,32.631578947368425,25.26315789473684,42.10526315789474,210.0,1.1052631578947372,92.0,0.4842105263157895,2114.0,11.126315789473685,706.0,3.7157894736842105,2644.0,13.91578947368421,819.0,4.310526315789474,374.0,1.9684210526315788,25.0,0.13157894736842105
2020-02-08,Marseille,Toulouse,2019.0,2.0,106.0,34.0,50.0,79.0,30.0,81.0,379.0,178.0,93.0,108.0,46.96569920844327,24.538258575197894,28.496042216358838,132.0,75.0,172.0,34.82849604221636,19.788918205804745,45.3825857519789,327.0,1.7210526315789474,144.0,0.7578947368421053,2991.0,15.742105263157894,1030.0,5.421052631578949,2562.0,13.48421052631579,1164.0,6.126315789473685,287.0,1.5105263157894735,20.0,0.10526315789473684,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2019-08-10,Brest,Toulouse,2019.0,8.0,18.0,19.0,20.0,21.0,13.0,23.0,114.0,27.0,52.0,35.0,23.684210526315788,45.614035087719294,30.701754385964907,26.0,38.0,50.0,22.807017543859647,33.333333333333336,43.85964912280703,60.0,1.0526315789473684,35.0,0.6140350877192983,702.0,12.31578947368421,227.0,3.982456140350877,955.0,16.754385964912277,285.0,5.0,84.0,1.4736842105263157,4.0,0.07017543859649122,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2020-03-07,Dijon,Toulouse,2019.0,3.0,30.0,29.0,17.0,23.0,21.0,32.0,152.0,39.0,75.0,38.0,25.657894736842106,49.342105263157904,25.0,37.0,46.0,69.0,24.342105263157894,30.26315789473684,45.39473684210525,103.0,1.3552631578947372,46.0,0.6052631578947368,969.0,12.75,329.0,4.328947368421051,1033.0,13.592105263157894,376.0,4.947368421052632,136.0,1.7894736842105263,11.0,0.14473684210526316,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2019-11-10,Montpellier,Toulouse,2019.0,11.0,92.0,49.0,49.0,52.0,45.0,93.0,380.0,146.0,126.0,108.0,38.42105263157895,33.1578947368421,28.421052631578952,95.0,104.0,181.0,25.0,27.36842105263158,47.631578947368425,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789476,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2019-12-21,Nice,Toulouse,2019.0,12.0,96.0,48.0,46.0,61.0,36.0,93.0,380.0,145.0,133.0,102.0,38.1578947368421,35.0,26.842105263157894,99.0,104.0,177.0,26.052631578947373,27.36842105263158,46.57894736842106,263.0,1.3842105263157896,121.0,0.6368421052631579,2362.0,12.431578947368418,817.0,4.3,2540.0,13.36842105263158,992.0,5.2210526315789485,310.0,1.631578947368421,20.0,0.10526315789473684,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2020-02-22,Lille,Toulouse,2019.0,2.0,107.0,36.0,47.0,78.0,30.0,82.0,380.0,175.0,102.0,103.0,46.05263157894736,26.842105263157894,27.105263157894736,130.0,79.0,171.0,34.21052631578947,20.789473684210527,45.0,326.0,1.7157894736842103,137.0,0.7210526315789474,2815.0,14.81578947368421,987.0,5.194736842105264,2572.0,13.53684210526316,1105.0,5.815789473684211,275.0,1.4473684210526316,13.0,0.06842105263157895,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2019-12-07,Strasbourg,Toulouse,2019.0,12.0,13.0,11.0,14.0,10.0,12.0,16.0,76.0,20.0,29.0,27.0,26.315789473684212,38.1578947368421,35.526315789473685,18.0,27.0,31.0,23.684210526315788,35.526315789473685,40.78947368421053,58.0,1.5263157894736843,23.0,0.6052631578947368,472.0,12.421052631578947,177.0,4.657894736842105,534.0,14.052631578947368,181.0,4.7631578947368425,68.0,1.7894736842105263,4.0,0.10526315789473684,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2019-08-25,Paris SG,Toulouse,2019.0,8.0,137.0,14.0,39.0,113.0,16.0,61.0,380.0,241.0,54.0,85.0,63.42105263157895,14.210526315789476,22.36842105263158,177.0,55.0,148.0,46.57894736842106,14.473684210526313,38.94736842105263,478.0,2.5157894736842104,216.0,1.136842105263158,2981.0,15.689473684210524,1172.0,6.1684210526315795,2339.0,12.310526315789476,1222.0,6.43157894736842,266.0,1.4,11.0,0.05789473684210526,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
2020-01-26,Lyon,Toulouse,2019.0,1.0,116.0,31.0,42.0,91.0,26.0,72.0,378.0,196.0,91.0,91.0,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,377.0,1.9947089947089949,169.0,0.8941798941798942,3087.0,16.333333333333332,1132.0,5.989417989417991,2575.0,13.624338624338625,1171.0,6.195767195767195,261.0,1.380952380952381,17.0,0.08994708994708994,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.47368421052632,89.0,118.0,173.0,23.421052631578952,31.052631578947373,45.526315789473685,165.0,0.8684210526315791,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.147368421052632,33.0,0.1736842105263158
